file,system,steps,kick_onsets,bass_onsets,chord_onsets,p_bass_given_kick,p_chord_given_kick,f1_kick_bass,f1_kick_chord,has_kick_and_bass,has_kick_and_chord
CP_Base_P1.mid,CP_Base,65,0,10,11,,,0.0,0.0,False,False
CP_Base_P2.mid,CP_Base,77,0,11,12,,,0.0,0.0,False,False
CP_Base_P3.mid,CP_Base,121,0,12,15,,,0.0,0.0,False,False
CP_Base_P4.mid,CP_Base,125,0,13,4,,,0.0,0.0,False,False
CP_Base_P5.mid,CP_Base,65,0,8,0,,,0.0,,False,False
CP_Base_P6.mid,CP_Base,125,0,5,11,,,0.0,0.0,False,False
CP_Base_P7.mid,CP_Base,125,0,5,8,,,0.0,0.0,False,False
CP_Base_P8.mid,CP_Base,93,0,10,14,,,0.0,0.0,False,False
MMM_P1.mid,MMM,93,0,2,59,,,0.0,0.0,False,False
MMM_P2.mid,MMM,134,0,0,93,,,,0.0,False,False
MMM_P3.mid,MMM,81,0,0,71,,,,0.0,False,False
MMM_P4.mid,MMM,189,0,23,50,,,0.0,0.0,False,False
MMM_P5.mid,MMM,100,0,0,47,,,,0.0,False,False
MMM_P6.mid,MMM,229,0,0,49,,,,0.0,False,False
MMM_P7.mid,MMM,84,0,8,77,,,0.0,0.0,False,False
MMM_P8.mid,MMM,99,0,1,51,,,0.0,0.0,False,False
PulseFormer_P1.mid,PulseFormer,193,36,80,0,0.8888888888888888,0.0,0.5517241379310345,0.0,True,False
PulseFormer_P2.mid,PulseFormer,321,0,0,109,,,,0.0,False,False
PulseFormer_P3.mid,PulseFormer,180,65,0,65,0.0,1.0,0.0,1.0,False,True
PulseFormer_P4.mid,PulseFormer,177,0,40,0,,,0.0,,False,False
PulseFormer_P5.mid,PulseFormer,134,17,1,47,0.0,0.8235294117647058,0.0,0.4375,True,True
PulseFormer_P6.mid,PulseFormer,244,0,0,71,,,,0.0,False,False
PulseFormer_P7.mid,PulseFormer,126,41,0,24,0.0,0.4878048780487805,0.0,0.6153846153846154,False,True
PulseFormer_P8.mid,PulseFormer,182,5,34,45,0.8,0.0,0.20512820512820512,0.0,True,True
REMI_P1.mid,REMI,31,10,28,13,1.0,0.7,0.5263157894736842,0.6086956521739131,True,True
REMI_P2.mid,REMI,17,7,15,14,1.0,0.8571428571428571,0.6363636363636364,0.5714285714285714,True,True
REMI_P3.mid,REMI,34,12,32,9,1.0,0.4166666666666667,0.5454545454545454,0.47619047619047616,True,True
REMI_P4.mid,REMI,75,8,67,0,1.0,0.0,0.21333333333333335,0.0,True,False
REMI_P5.mid,REMI,31,10,29,14,1.0,0.7,0.5128205128205128,0.5833333333333334,True,True
REMI_P6.mid,REMI,30,5,22,24,1.0,1.0,0.37037037037037035,0.3448275862068966,True,True
REMI_P7.mid,REMI,52,11,39,16,1.0,0.5454545454545454,0.44,0.4444444444444444,True,True
REMI_P8.mid,REMI,28,13,22,12,1.0,0.7692307692307693,0.7428571428571429,0.8,True,True
