system,metric,n_files,mean,sd,ci95_low,ci95_high
CP_Base,p_bass_given_kick,0,,,,
CP_Base,p_chord_given_kick,0,,,,
CP_Base,f1_kick_bass,8,0.0,0.0,0.0,0.0
CP_Base,f1_kick_chord,7,0.0,0.0,0.0,0.0
MMM,p_bass_given_kick,0,,,,
MMM,p_chord_given_kick,0,,,,
MMM,f1_kick_bass,4,0.0,0.0,0.0,0.0
MMM,f1_kick_chord,8,0.0,0.0,0.0,0.0
PulseFormer,p_bass_given_kick,5,0.3377777777777778,0.4635877265921884,0.0,0.6933333333333332
PulseFormer,p_chord_given_kick,5,0.4622668579626973,0.4603534107716009,0.0975609756097561,0.8269727403156384
PulseFormer,f1_kick_bass,6,0.12614205717653992,0.22405632924891244,0.0,0.3100501031535514
PulseFormer,f1_kick_chord,7,0.2932692307692308,0.4016749479451091,0.0625,0.5789835164835164
REMI,p_bass_given_kick,8,1.0,0.0,1.0,1.0
REMI,p_chord_given_kick,8,0.6235618548118548,0.30866221295392793,0.41231060606060604,0.8053800366300367
REMI,f1_kick_bass,8,0.4984394163341531,0.1617139319339644,0.388630994005994,0.601781600465811
REMI,f1_kick_chord,8,0.47861500797220435,0.23541285259534792,0.31432141072320985,0.6196385438233265
