system,file,bar_index,jdm
PulseFormer,sample_01.mid,0,0.42857142857142855
PulseFormer,sample_01.mid,1,0.625
PulseFormer,sample_01.mid,2,0.3333333333333333
PulseFormer,sample_01.mid,3,0.0
PulseFormer,sample_01.mid,4,0.5
PulseFormer,sample_01.mid,5,0.625
PulseFormer,sample_01.mid,6,0.5
PulseFormer,sample_01.mid,7,0.5
PulseFormer,sample_01.mid,8,0.375
PulseFormer,sample_01.mid,9,0.125
PulseFormer,sample_01.mid,10,0.625
PulseFormer,sample_01.mid,11,0.5
PulseFormer,sample_01.mid,12,0.25
PulseFormer,sample_01.mid,13,0.375
PulseFormer,sample_01.mid,14,0.875
PulseFormer,sample_01.mid,15,0.75
PulseFormer,sample_01.mid,16,0.5
PulseFormer,sample_01.mid,17,0.0
PulseFormer,sample_02.mid,0,0.2857142857142857
PulseFormer,sample_02.mid,1,0.25
PulseFormer,sample_02.mid,2,1.0
PulseFormer,sample_02.mid,3,0.625
PulseFormer,sample_02.mid,4,1.0
PulseFormer,sample_02.mid,5,1.0
PulseFormer,sample_02.mid,6,1.0
PulseFormer,sample_02.mid,7,1.0
PulseFormer,sample_02.mid,8,1.0
PulseFormer,sample_02.mid,9,0.875
PulseFormer,sample_02.mid,10,1.0
PulseFormer,sample_03.mid,0,0.7142857142857143
PulseFormer,sample_03.mid,1,0.875
PulseFormer,sample_03.mid,2,0.75
PulseFormer,sample_03.mid,3,0.875
PulseFormer,sample_03.mid,4,0.75
PulseFormer,sample_03.mid,5,1.0
PulseFormer,sample_03.mid,6,0.75
PulseFormer,sample_03.mid,7,1.0
PulseFormer,sample_03.mid,8,0.75
PulseFormer,sample_03.mid,9,0.875
PulseFormer,sample_03.mid,10,0.75
PulseFormer,sample_03.mid,11,0.875
PulseFormer,sample_03.mid,12,0.125
PulseFormer,sample_03.mid,13,0.0
PulseFormer,sample_04.mid,0,0.0
PulseFormer,sample_04.mid,1,0.6
PulseFormer,sample_04.mid,2,0.2
PulseFormer,sample_04.mid,3,0.4
PulseFormer,sample_04.mid,4,0.2
PulseFormer,sample_04.mid,5,0.6
PulseFormer,sample_04.mid,6,0.2
PulseFormer,sample_04.mid,7,0.4
PulseFormer,sample_04.mid,8,0.2
PulseFormer,sample_04.mid,9,0.6
PulseFormer,sample_05.mid,0,0.6
PulseFormer,sample_05.mid,1,1.0
PulseFormer,sample_05.mid,2,0.8333333333333334
PulseFormer,sample_05.mid,3,0.8333333333333334
PulseFormer,sample_05.mid,4,0.75
PulseFormer,sample_05.mid,5,0.8
PulseFormer,sample_05.mid,6,1.0
PulseFormer,sample_05.mid,7,1.0
PulseFormer,sample_05.mid,8,1.0
PulseFormer,sample_05.mid,9,1.0
PulseFormer,sample_05.mid,10,1.0
PulseFormer,sample_05.mid,11,1.0
PulseFormer,sample_05.mid,12,1.0
PulseFormer,sample_05.mid,13,0.6666666666666666
PulseFormer,sample_05.mid,14,0.75
PulseFormer,sample_05.mid,15,1.0
PulseFormer,sample_05.mid,16,1.0
PulseFormer,sample_05.mid,17,0.8
PulseFormer,sample_05.mid,18,1.0
PulseFormer,sample_05.mid,19,1.0
PulseFormer,sample_05.mid,20,0.2
PulseFormer,sample_05.mid,21,0.0
PulseFormer,sample_06.mid,0,0.2
PulseFormer,sample_06.mid,1,0.4
PulseFormer,sample_06.mid,2,0.3333333333333333
PulseFormer,sample_06.mid,3,0.5
PulseFormer,sample_06.mid,4,0.625
PulseFormer,sample_06.mid,5,0.4444444444444444
PulseFormer,sample_06.mid,6,0.7777777777777778
PulseFormer,sample_06.mid,7,0.625
PulseFormer,sample_06.mid,8,0.5555555555555556
PulseFormer,sample_06.mid,9,0.7142857142857143
PulseFormer,sample_06.mid,10,0.8571428571428571
PulseFormer,sample_06.mid,11,1.0
PulseFormer,sample_06.mid,12,0.875
PulseFormer,sample_06.mid,13,0.75
PulseFormer,sample_06.mid,14,0.8571428571428571
PulseFormer,sample_06.mid,15,0.5
PulseFormer,sample_06.mid,16,0.875
PulseFormer,sample_06.mid,17,0.5
PulseFormer,sample_07.mid,0,0.0
PulseFormer,sample_07.mid,1,0.6
PulseFormer,sample_07.mid,2,0.2
PulseFormer,sample_07.mid,3,0.4
PulseFormer,sample_07.mid,4,0.2
PulseFormer,sample_07.mid,5,0.6
PulseFormer,sample_07.mid,6,0.2
PulseFormer,sample_07.mid,7,0.4
PulseFormer,sample_07.mid,8,0.2
PulseFormer,sample_07.mid,9,0.6
PulseFormer,sample_08.mid,0,0.42857142857142855
PulseFormer,sample_08.mid,1,0.375
PulseFormer,sample_08.mid,2,0.25
PulseFormer,sample_08.mid,3,0.5
PulseFormer,sample_08.mid,4,0.5
PulseFormer,sample_08.mid,5,0.625
PulseFormer,sample_08.mid,6,0.25
PulseFormer,sample_08.mid,7,0.875
PulseFormer,sample_08.mid,8,0.5
PulseFormer,sample_08.mid,9,0.375
PulseFormer,sample_08.mid,10,0.75
PulseFormer,sample_08.mid,11,0.375
PulseFormer,sample_08.mid,12,1.0
PulseFormer,sample_08.mid,13,1.0
PulseFormer,sample_08.mid,14,1.0
PulseFormer,sample_09.mid,0,0.0
PulseFormer,sample_09.mid,1,0.6
PulseFormer,sample_09.mid,2,0.2
PulseFormer,sample_09.mid,3,0.4
PulseFormer,sample_09.mid,4,0.2
