system,file,status,bars_used,mean_jdm
PulseFormer,sample_01.mid,ok,18,0.43816138
PulseFormer,sample_02.mid,ok,11,0.82142857
PulseFormer,sample_03.mid,ok,14,0.72066327
PulseFormer,sample_04.mid,ok,10,0.34000000
PulseFormer,sample_05.mid,ok,22,0.82878788
PulseFormer,sample_06.mid,ok,18,0.63276014
PulseFormer,sample_07.mid,ok,10,0.34000000
PulseFormer,sample_08.mid,ok,15,0.58690476
PulseFormer,sample_09.mid,ok,10,0.34000000
PulseFormer,sample_10.mid,ok,14,0.54464286
MMM-Transformer,sample_01.mid,no-melody-or-bass,4,0.00000000
MMM-Transformer,sample_02.mid,no-melody-or-bass,8,0.00000000
MMM-Transformer,sample_03.mid,ok,12,0.54632937
MMM-Transformer,sample_04.mid,ok,11,0.59577922
MMM-Transformer,sample_05.mid,ok,15,0.45238095
MMM-Transformer,sample_06.mid,ok,6,0.85879630
MMM-Transformer,sample_07.mid,ok,10,0.76250000
MMM-Transformer,sample_08.mid,ok,14,0.54974490
MMM-Transformer,sample_09.mid,ok,13,0.52060440
MMM-Transformer,sample_10.mid,no-melody-or-bass,5,0.00000000
