metric,aggregation,system,n,mean,sd,ci95_low,ci95_high,bootstrap_samples,source
GT,rating,Human,200,3.865,0.5274142860652608,3.79,3.94,10000,analysis/mos_results.csv
SC,rating,Human,200,4.31,0.5051493634530138,4.24,4.38,10000,analysis/mos_results.csv
MV,rating,Human,200,4.095,0.4765611742093759,4.03,4.16,10000,analysis/mos_results.csv
Pref,rating,Human,200,3.93,0.5445942660117387,3.855,4.005,10000,analysis/mos_results.csv
GT,rating,MMM,200,3.08,0.6601355122036398,2.99,3.17,10000,analysis/mos_results.csv
SC,rating,MMM,200,2.17,0.5940238392590319,2.09,2.255,10000,analysis/mos_results.csv
MV,rating,MMM,200,2.47,0.6007532959652118,2.385,2.555,10000,analysis/mos_results.csv
Pref,rating,MMM,200,2.385,0.677547305919516,2.29,2.4751249999999985,10000,analysis/mos_results.csv
GT,rating,PulseFormer,200,3.99,0.5397747529475587,3.915,4.065,10000,analysis/mos_results.csv
SC,rating,PulseFormer,200,3.85,0.6320581361213429,3.765,3.9351249999999984,10000,analysis/mos_results.csv
MV,rating,PulseFormer,200,2.985,0.6533831553833428,2.895,3.075,10000,analysis/mos_results.csv
Pref,rating,PulseFormer,200,3.565,0.5979655626123898,3.485,3.645,10000,analysis/mos_results.csv
GT,rating,REMI,200,3.165,0.5996439479571256,3.08,3.245,10000,analysis/mos_results.csv
SC,rating,REMI,200,2.64,0.6343595670449903,2.555,2.73,10000,analysis/mos_results.csv
MV,rating,REMI,200,2.865,0.6393896272832295,2.78,2.955,10000,analysis/mos_results.csv
Pref,rating,REMI,200,3.15,0.6399591695518295,3.06,3.235,10000,analysis/mos_results.csv
